param,session,side,entry_time,exit_time,bars_held,entry_price,exit_price,stop_price,target_price,range_size,range_pct,exit_reason,price_pnl,risk_price,pnl,weekday,date,hour,rng,tgt,year,ehour,scale,pnl_vt
h05_r60_t2,1778544000000000000,-1,1778565610000000000,1778591800000000000,5238,4708.91,4682.511999999999,4722.109,4682.511999999999,13.199000000000524,0.27996214285685095,tp,26.398000000001048,13.199000000000524,52.656000000002095,Tuesday,2026-05-12,5,60,2.0,2026,6,0.6591398571425122,34.707668317697504
h06_r60_t3,1778544000000000000,-1,1778569320000000000,1778615825000000000,9301,4694.397,4714.594,4714.594,4633.806,20.197000000000116,0.4299923782110537,sl,-20.197000000000116,20.197000000000116,-40.53400000000023,Tuesday,2026-05-12,6,60,3.0,2026,7,0.6591398571425122,-26.717574969414745
h13_r30_t3,1778544000000000000,-1,1778594305000000000,1778614475000000000,4034,4679.4349999999995,4709.169,4709.169,4590.232999999998,29.73400000000038,0.6338801635203689,sl,-29.73400000000038,29.73400000000038,-59.60800000000076,Tuesday,2026-05-12,13,30,3.0,2026,13,0.6591398571425122,-39.29000860455137
h14_r15_t2,1778544000000000000,-1,1778596400000000000,1778611335000000000,2987,4675.939,4695.073,4695.073,4637.671,19.134000000000015,0.4077060578676682,sl,-19.134000000000015,19.134000000000015,-38.40800000000003,Tuesday,2026-05-12,14,15,2.0,2026,14,0.6591398571425122,-25.31624363312963
h00_r30_t1,1778630400000000000,-1,1778633940000000000,1778636110000000000,434,4715.032999999999,4702.8229999999985,4727.243,4702.8229999999985,12.210000000000946,0.25853849312079985,tp,12.210000000000946,12.210000000000946,24.28000000000189,Wednesday,2026-05-13,0,30,1.0,2026,0,0.6577355945065798,15.969820234621002
h01_r60_t3,1778630400000000000,-1,1778638060000000000,1778716795000000000,14983,4701.217000000001,4696.893,4717.280000000001,4653.028,16.063000000000102,0.3415782347701274,session_end,4.324000000000524,16.063000000000102,8.508000000001047,Wednesday,2026-05-13,1,60,3.0,2026,2,0.6577355945065798,5.59601443806267
h02_r15_t3,1778630400000000000,-1,1778638745000000000,1778652265000000000,2704,4699.128000000001,4707.614,4707.614,4673.670000000004,8.485999999998967,0.18049838910609411,sl,-8.485999999998967,8.485999999998967,-17.111999999997934,Wednesday,2026-05-13,2,15,3.0,2026,2,0.6577355945065798,-11.255171493195235
h04_r30_t3,1778630400000000000,1,1778648630000000000,1778650205000000000,315,4703.608,4695.529,4695.529,4727.844999999999,8.078999999999724,0.17184586580834607,sl,-8.078999999999724,8.078999999999724,-16.297999999999448,Wednesday,2026-05-13,4,30,3.0,2026,5,0.6577355945065798,-10.719774719267875
h05_r60_t2,1778630400000000000,1,1778652265000000000,1778663690000000000,2285,4707.544,4693.636,4693.636,4735.359999999999,13.907999999999447,0.2956467357373397,sl,-13.907999999999447,13.907999999999447,-27.955999999998895,Wednesday,2026-05-13,5,60,2.0,2026,6,0.6577355945065798,-18.38765628002522
h06_r60_t3,1778630400000000000,-1,1778656050000000000,1778716795000000000,11385,4699.264,4696.893,4715.35,4651.005999999999,16.08600000000024,0.3421436492855362,session_end,2.3710000000000946,16.08600000000024,4.6020000000001895,Wednesday,2026-05-13,6,60,3.0,2026,7,0.6577355945065798,3.026899205919405
h13_r30_t3,1778630400000000000,-1,1778679265000000000,1778686445000000000,1436,4683.683,4694.873,4694.873,4650.113000000001,11.1899999999996,0.238661142979984,sl,-11.1899999999996,11.1899999999996,-22.5199999999992,Wednesday,2026-05-13,13,30,3.0,2026,13,0.6577355945065798,-14.812205588287652
h14_r15_t2,1778630400000000000,1,1778682305000000000,1778689445000000000,1428,4683.438,4704.5419999999995,4672.886,4704.5419999999995,10.55199999999968,0.22541175776951047,tp,21.10399999999936,10.55199999999968,42.06799999999872,Wednesday,2026-05-13,14,15,2.0,2026,14,0.6577355945065798,27.669620989701958
h00_r30_t1,1778716800000000000,1,1778720340000000000,1778720800000000000,92,4705.651,4689.682,4689.682,4721.62,15.969000000000051,0.33967135536081655,sl,-15.969000000000051,15.969000000000051,-32.0780000000001,Thursday,2026-05-14,0,30,1.0,2026,0,0.6596479381737134,-21.160186560736445
h01_r60_t3,1778716800000000000,-1,1778726900000000000,1778732845000000000,1189,4683.469,4707.139,4707.139,4612.459,23.670000000000073,0.5048263489068829,sl,-23.670000000000073,23.670000000000073,-47.480000000000146,Thursday,2026-05-14,1,60,3.0,2026,2,0.6596479381737134,-31.320084104488007
