param,trades,sessions,win_rate,pf,net_pnl,exp_usd,exp_R,mean_session,ci_lo,ci_hi,max_dd_pct,sharpe
B_t0.25_s0.8_fixed_r1.5_e0.3_h12,3228,376,45.9727385377943,0.9012342829368528,-6684.7737900000275,-2.070871682156142,-0.025269999835846917,-17.778653696808597,-33.196734847738796,-2.8500346688832043,-69.09379774057197,-1.8859863085628692
B_t0.35_s1_fixed_r1.5_e0.45_h0,1052,353,41.92015209125476,0.9131483116543807,-4597.297512500119,-4.37005466967692,-0.036890155462038735,-13.023505701133487,-33.36996225389564,6.626695999114616,-60.32266367596307,-1.0731400140234943
B_t0.25_s1_fixed_r1.5_e0.45_h0,2007,379,40.70752366716492,0.9245369348640459,-5861.352387499728,-2.9204546026406217,-0.03268270148567329,-15.465309729550746,-33.799162744062535,3.0995871380278905,-69.70395370882167,-1.334320624086384
B_t0.35_s0.8_vwap_static_e0.45_h0,1121,353,37.91257805530776,0.8999110624376322,-5025.422046345258,-4.482981308068919,-0.04634568584522905,-14.236323077465324,-33.821823884375014,4.545562367961335,-64.66474261346316,-1.2290619876732185
B_t0.25_s1_fixed_r1.5_e0.3_h0,1696,376,40.33018867924528,0.9055172194892249,-6204.812824999824,-3.6584981279480098,-0.04169629190486189,-16.50216176861657,-33.95148097905505,0.6291629995011757,-68.58765196507682,-1.5384264816869726
B_t0.35_s0.6_fixed_r1.0_e0_h24,3225,368,48.93023255813954,0.925559883978319,-6312.342724999997,-1.9573155736434098,-0.021058451743285047,-17.153105230978273,-33.9778842192259,-0.8334916582199706,-67.65193309707274,-1.6857769664249433
B_t0.35_s0.6_fixed_r1.0_e0_h0,2942,368,49.04826648538409,0.9262855311750382,-6274.227953000029,-2.1326403647178886,-0.023656530306270806,-17.04953248097836,-34.01342766847838,-0.9629297233696524,-66.4196959670339,-1.6604237568866607
B_t0.35_s1_fixed_r1.0_e0_h12,3055,368,49.91816693944354,0.925709008541926,-5552.536385000044,-1.8175241849427313,-0.009404319558941013,-15.088414089674048,-34.087101438859385,3.0274847173915433,-61.45757613044134,-1.3250914808240128
B_t0.25_s1_vwap_static_e0.3_h12,2981,376,47.56793022475679,0.8947951531499715,-6797.749815857456,-2.280358878180965,-0.0227644680924634,-18.07912185068473,-34.2834341852154,-2.111646901630842,-71.28419919426757,-1.8168081986053601
B_t0.35_s0.8_fixed_r1.0_e0_h0,2071,368,48.91356832448093,0.9231990118429046,-5962.377671999794,-2.8789848730081093,-0.025673205907266152,-16.202113239129886,-34.54823217527085,1.947239526087217,-63.389225474372346,-1.4453649192406715
B_t0.25_s0.6_fixed_r1.0_e0.3_h12,4001,376,47.81304673831542,0.8861752627107295,-8155.526110000192,-2.0383719345164186,-0.033124120312381024,-21.690229015957968,-34.68992154953519,-9.00352618317865,-82.16288938608002,-2.687038976916799
B_t0.25_s0.6_vwap_static_e0.45_h24,3135,379,36.58692185007975,0.9129081405082691,-6591.394285545511,-2.102518113411646,-0.035689990247559616,-17.391541650515876,-34.84139882131109,-0.3152698052964947,-75.19335169215059,-1.622443601318327
