label,rng,tgt,stop,net_o,maxDD_o,rdd_o,pf_o,sharpe_o,worst_o,net_i,maxDD_i,rdd_i,pf_i,sharpe_i,worst_i,y2020,y2021,y2022,y2023
r60 t2 s2,60,2.0,2.0,-2789.757999999966,-3074.792999999981,-0.9072994507272468,0.9409626654447922,-0.975725164675701,-150.19699999999784,11912.394000000017,-1536.1599999999803,7.7546570669723005,1.1571314870440261,1.9307782804297335,-818.7829999999907,-366.0739999999705,-481.87799999999044,-286.9989999999898,-1654.8070000000148
r60 t3 s1,60,3.0,1.0,-1761.310000000036,-2253.7950000000333,-0.7814863374885516,0.9531536300863211,-0.5738732111803371,-126.97700000000155,13178.578999999962,-2052.9439999999736,6.419356300025783,1.2148046027386397,2.0068624505037014,-493.888999999996,-934.4850000000134,-305.6620000000105,219.26200000001145,-740.4250000000231
r60 t3 s1.5,60,3.0,1.5,-2108.554000000021,-2288.5290000000255,-0.9213577804782013,0.9547725793589524,-0.6044522811635885,-206.62050000000167,12197.962999999998,-2347.127499999971,5.196975025856136,1.1620333636182643,1.6382405071422281,-642.6059999999948,-1024.9969999999948,-33.57950000000244,661.2550000000081,-1711.232500000032
r60 t3 s2,60,3.0,2.0,-2412.4760000000115,-2608.6290000000427,-0.924806095462395,0.9539388771123986,-0.662386389535976,-286.2640000000022,14601.246999999994,-2321.9109999999596,6.288461099499614,1.1771190963058877,1.9551693833509503,-776.7969999999899,-615.3419999999851,-269.09299999999735,405.7740000000041,-1933.8150000000328
r60 t4 s1,60,4.0,1.0,-1008.5610000000223,-1739.8060000000378,-0.5796973915482533,0.9739075349834548,-0.28143736235944794,-122.45699999999941,14815.648000000005,-2140.7759999999616,6.920690441223309,1.2358370561538572,2.031029159827749,-493.888999999996,-444.4869999999987,-337.2690000000059,715.1759999999954,-941.9810000000132
r60 t4 s1.5,60,4.0,1.5,-1427.635999999991,-2195.775000000013,-0.6501740843210178,0.9704745376608294,-0.35042030575600674,-195.57050000000194,14521.036500000057,-2119.610499999968,6.850804192562868,1.1877465002985084,1.7596047556991716,-642.6059999999948,-548.7794999999846,-135.05799999998948,1190.0229999999967,-1933.8215000000139
r60 t4 s2,60,4.0,2.0,-1717.4149999999918,-2536.574000000024,-0.6770608702919668,0.9685697239190789,-0.4016255715674632,-275.2140000000025,17538.664000000077,-2073.9699999999484,8.456565909825365,1.206943541324565,2.0796495382145177,-734.8109999999891,-220.56999999997902,-292.7239999999829,1043.9439999999943,-2248.065000000024
r60 t5 s1,60,5.0,1.0,-1008.6190000000109,-1684.9449999999956,-0.5986064827041913,0.9742806599816343,-0.2564828080084534,-131.9809999999993,15431.647000000008,-2640.8669999999674,5.843401807058136,1.2427813110688928,1.946480372170864,-493.888999999996,-443.66200000000225,-423.53000000000236,912.8810000000009,-1054.308000000007
r60 t5 s1.5,60,5.0,1.5,-1213.838500000007,-2465.9610000000202,-0.4922375090279193,0.9753530678309958,-0.2685295279955496,-230.8869999999988,15340.076500000037,-2601.2544999999873,5.897184031781632,1.1954323135182927,1.7126929240037465,-642.6059999999948,-372.14949999998885,-206.40999999999423,1515.0484999999935,-2150.3275000000176
r60 t5 s2,60,5.0,2.0,-1626.8750000000105,-2808.7330000000325,-0.5792202391612131,0.9708751417708139,-0.3411929079896016,-264.1640000000028,17937.60200000007,-2613.18299999998,6.864273187143882,1.2084298898068386,1.9574335857625256,-692.8249999999883,-90.8359999999841,-362.4389999999849,1283.4889999999903,-2457.089000000032
r60 tnone s1,60,99.0,1.0,769.7359999999716,-1342.0490000000173,0.5735528285479604,1.0193101833034452,0.14362761507067512,-171.17700000000048,15766.773999999983,-2937.7749999999905,5.3669099914050715,1.24550938875492,1.716607050325153,-493.888999999996,551.6829999999898,-384.69600000000594,1148.8939999999839,-546.1449999999961
r60 tnone s1.5,60,99.0,1.5,412.6349999999552,-2210.0995000000057,0.18670426376728927,1.0081953294159558,0.06708854992718354,-256.3455000000007,16371.710499999996,-3157.372499999972,5.185232499491314,1.2058253423791054,1.5725097549425366,-642.6059999999948,1049.7374999999913,-291.9045000000075,1450.7689999999773,-1795.9670000000062
r60 tnone s2,60,99.0,2.0,-60.35000000003538,-2512.96900000003,-0.02401541761957058,0.9989469563688859,-0.009369022256209066,-341.51400000000086,20193.057000000008,-2891.9789999999666,6.982435557104751,1.2316549272071216,1.8852711681583783,-697.869999999992,1357.8949999999977,-586.6290000000092,1189.8699999999776,-2021.486000000001
