set,rng,tgt,stop,net_tr,pf_tr,dd_tr,net_ho,pf_ho,dd_ho,sh_ho,net_all,rdd_all,dd_all,sh_all,both
8h,30,4.0,2.0,7233.9850000000815,1.1480360927230944,-1749.692999999981,10720.963999999993,1.282294340009758,-906.7909999999956,3.8178595955297165,17954.949000000073,10.261771064981266,-1749.692999999981,2.431919974957798,True
8h,30,5.0,1.0,7454.880000000072,1.2114672103536943,-1213.855999999997,9122.321000000004,1.3310622266936518,-798.757999999998,3.927880215325641,16577.201000000074,13.656645434054878,-1213.855999999997,2.659362631385439,True
8h,30,5.0,1.5,8145.394500000063,1.1835811816563,-2202.181499999989,9861.677000000036,1.2850501146192215,-974.0829999999887,3.4718807203374373,18007.0715000001,8.176924336164022,-2202.181499999989,2.340585394931848,True
8h,30,5.0,2.0,8611.187000000085,1.1722789347251092,-1759.6449999999777,11616.547000000039,1.3010387706773345,-828.2589999999946,3.9252581677938956,20227.734000000124,11.495349346033079,-1759.6449999999777,2.5397660057987883,True
8h,30,99.0,1.0,7759.373999999995,1.2143622349905738,-2094.5029999999833,8943.492000000067,1.3180456040144328,-742.4979999999841,2.935564158214216,16702.866000000064,7.974620232102887,-2094.5029999999833,2.04497147496154,True
8h,30,99.0,1.5,8659.414500000017,1.1886861495383285,-3271.016499999985,10175.85900000011,1.2861989607593773,-1105.278999999996,2.7054329411658022,18835.273500000127,5.7582324943943926,-3271.016499999985,1.8527968941906805,True
8h,30,99.0,2.0,9223.481000000022,1.1776113358764673,-2846.9259999999886,12463.805000000126,1.3132256681996675,-1255.4920000000166,3.1346316903538325,21687.286000000146,7.617790557253768,-2846.9259999999886,2.0280984833971796,True
8h,60,1.0,1.0,3115.894999999957,1.0992323058791762,-953.5979999999922,2351.6880000000074,1.0961198479241123,-861.1910000000015,1.585950166591237,5467.582999999964,5.214571968107361,-1048.5200000000063,1.444966815600691,True
8h,60,1.0,1.5,2199.5204999999833,1.0609823579918283,-1170.8634999999995,1007.3934999999763,1.0346860181511228,-1229.1320000000455,0.5569934195934501,3206.9139999999597,2.609088364797146,-1229.1320000000437,0.7131903035083358,True
8h,60,1.0,2.0,1548.138999999964,1.0399086833136921,-1141.0360000000244,1938.852999999971,1.0640601810909467,-1561.3529999999796,1.0920663823500314,3486.9919999999347,2.2333143113696776,-1561.3529999999791,0.7766896161884194,True
